"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"952",31,23,1,2,1
"953",32,23,1,1,1
"954",33,23,1,1,1
"955",34,23,1,1,1
"956",35,23,1,1,1
"957",36,23,1,2,2
"958",37,23,1,1,1
"959",38,23,1,1,1
"960",39,23,1,2,2
"961",0,24,1,1,1
"962",1,24,1,1,1
"963",2,24,1,1,1
"964",3,24,1,1,1
"965",4,24,1,1,1
"966",5,24,1,1,1
"967",6,24,1,1,1
"968",7,24,1,1,1
"969",8,24,1,2,2
"970",9,24,1,1,1
"971",10,24,1,1,1
"972",11,24,1,1,1
"973",12,24,1,1,2
"974",13,24,1,1,2
"975",14,24,1,1,1
"976",15,24,1,1,2
"977",16,24,1,2,2
"978",17,24,1,1,2
"979",18,24,1,1,1
"980",19,24,1,1,1
"981",20,24,1,1,2
"982",21,24,1,1,2
"983",22,24,1,1,1
"984",23,24,1,1,1
"985",24,24,1,1,1
"986",25,24,1,1,1
"987",26,24,1,1,1
"988",27,24,1,1,1
"989",28,24,1,1,1
"990",29,24,1,1,1
"991",30,24,1,1,1
"992",31,24,1,1,1
"993",32,24,1,2,1
"994",33,24,1,1,1
"995",34,24,1,1,1
"996",35,24,1,2,2
"997",36,24,1,1,1
"998",37,24,1,1,1
"999",38,24,1,1,1
"1000",39,24,1,1,1
"1001",0,25,1,1,1
"1002",1,25,1,1,1
"1003",2,25,1,1,1
"1004",3,25,1,1,1
"1005",4,25,1,1,1
"1006",5,25,1,1,1
"1007",6,25,1,1,1
"1008",7,25,1,2,2
"1009",8,25,1,1,1
"1010",9,25,1,1,1
"1011",10,25,1,1,1
"1012",11,25,1,1,1
"1013",12,25,1,1,1
"1014",13,25,1,1,1
"1015",14,25,1,1,1
"1016",15,25,1,1,1
"1017",16,25,1,1,2
"1018",17,25,1,1,1
"1019",18,25,1,1,1
"1020",19,25,1,1,1
"1021",20,25,1,1,2
"1022",21,25,1,1,1
"1023",22,25,1,1,1
"1024",23,25,1,1,1
"1025",24,25,1,1,1
"1026",25,25,1,1,1
"1027",26,25,1,1,1
"1028",27,25,1,1,1
"1029",28,25,1,1,2
"1030",29,25,1,1,1
"1031",30,25,1,1,1
"1032",31,25,1,2,1
"1033",32,25,1,1,1
"1034",33,25,1,1,1
"1035",34,25,1,1,1
"1036",35,25,1,1,1
"1037",36,25,1,1,1
"1038",37,25,1,1,1
"1039",38,25,1,1,1
"1040",39,25,1,1,1
"1041",0,26,1,1,1
"1042",1,26,1,1,1
"1043",2,26,1,1,1
"1044",3,26,1,1,1
"1045",4,26,1,1,1
"1046",5,26,1,1,1
"1047",6,26,1,1,1
"1048",7,26,1,2,2
"1049",8,26,1,1,1
"1050",9,26,1,1,1
"1051",10,26,1,1,1
"1052",11,26,1,1,1
"1053",12,26,1,1,1
"1054",13,26,1,1,1
"1055",14,26,1,1,1
